id,title,doi,year,source,url,abstract,authors,journal,query_bucket,doi_norm
10.1108/afr-03-2024-0038,Ambiguity aversion and the adoption of weather index-based insurance: experimental evidence from Uganda,10.1108/afr-03-2024-0038,2025,crossref,https://doi.org/10.1108/afr-03-2024-0038,"
                  Purpose
                  This study aims to estimate farmers’ ambiguity aversion and analyze its impact on the adoption of weather index-based insurance in Uganda.
               
               
                  Design/methodology/approach
                  The research question we address is: Does the ambiguity of insurance contract outcomes affect farmers’ decisions to adopt weather index-based agricultural insurance (WII)? To explore this, we use incentivized choice experiments to elicit ambiguity preferences and insurance adoption decisions. Our sample includes 291 small-scale coffee farmers from Central and Western Uganda. Given the panel data and the dependence of adoption decisions over time, we employ a dynamic probit model to analyze how ambiguity aversion influences WII uptake. Additionally, we use a pooled binary probit model to test the robustness of our results to different model specifications.
               
               
                  Findings
                  The results indicate that the adoption of WII decreased with each round of the choice experiment, particularly among ambiguity-averse farmers. We found that 58% of respondents were ambiguity-averse and that ambiguity aversion is negatively associated with WII adoption. Conversely, tertiary education positively influences the likelihood of adopting WII.
               
               
                  Practical implications
                  The results imply that farmers are not likely to invest in risk management strategies whose outcomes are not predictable with some level of certainty. Also, the negative effect of ambiguity aversion can be reduced as farmers gain more knowledge about the insurance products. Our findings highlight the need to provide sufficient information and education about the use of WII.
               
               
                  Originality/value
                  This study contributes to the limited literature on the role that behavioral factors play in the adoption of index-based agricultural insurance.
               ",Florence Lwiza; Andrew Barkley,Agricultural Finance Review,insurance_base,10.1108/afr-03-2024-0038
10.5194/egusphere-egu24-2163,Climate risk-reduction potential of gridded precipitation data for agricultural index-based insurance development,10.5194/egusphere-egu24-2163,2025,crossref,https://doi.org/10.5194/egusphere-egu24-2163,"Index insurance has been introduced as an innovative and potential solution to mitigate several challenges caused by climate change in the agricultural sector. Despite the promising potential of index insurance, dissemination in developing countries is slow due to a lack of reliable weather data, which is essential for the design and operation of index insurance products. The increasing availability of model- and satellite-based data could ease the constraints of data access. However, their accuracy and suitability have to undergo a thorough assessment. Therefore, this study statistically and financially analyzes and compares the risk reduction potential of index insurance products designed employing various in-situ-, model- and satellite-based precipitation products (e.g., CMOPH, CPC, IMERG, GSMaP, MERRA, GLDAS, ERA5, PERSIANN, MSWEP, and MERRA2). This study employed county-level spring wheat yield data between 1982 and 2018 from 56 counties overall in Kazakhstan and Mongolia. The results showed that in the majority of cases in both countries, the hedging effectiveness of index insurance products designed based on IMERG is the highest. Moreover, among other data sources, the index insurance products designed using the PERSIANN, GLDAS and FLDAS showed higher risk reduction potential. Overall, this study highlights that satellite- and model-based precipitation products have higher accuracy and potential for index insurance design and operation than in-situ-based precipitation data.",Sarvarbek Eltazarov; Ihtiyor Bobojonov; Lena Kuhn,,insurance_base,10.5194/egusphere-egu24-2163
10.1111/jori.70012,Welfare consequences of the compound risks of index insurance,10.1111/jori.70012,2025,crossref,https://doi.org/10.1111/jori.70012,"AbstractIndex insurance is an attractive variant on the standard insurance contract that allows the determination of a loss event to be defined by one or more thresholds on an index that is positively correlated with actual losses. Index insurance also comes with a compound risk, basis risk. We examine how these compound risks for index insurance affect behavior towards the decision to purchase the product or not. Using incentivized experiments, we control the actuarial specifics of contracts offered, the information provided to decision makers, and our knowledge of the risk preferences of decision makers. We demonstrate that individuals that fail to process compound risks, end up purchasing the contract more than other individuals, as well as more than they should, generating significant welfare losses. We also develop a natural information treatment that mitigates these welfare losses.",Glenn Harrison; Jimmy Martí­nez‐Correa; Karlijn Morsink; Jia Min Ng; J. Todd Swarthout,Journal of Risk and Insurance,insurance_base,10.1111/jori.70012
10.1108/qrfm-05-2024-0113,Conceptualizing the corporate-social accountability and sustainability assessment of weather-risk management policy towards stakeholders using qualitative insights: a case of weather index insurance,10.1108/qrfm-05-2024-0113,2025,crossref,https://doi.org/10.1108/qrfm-05-2024-0113,"Purpose
Sustainability assessment of risk-management policies has been needed to analyze their corporate social impact on stakeholders in terms of environmental, social and governance (ESG) and corporate social responsibility (CSR) accountability aspects. Thus, weather index insurance (WII) is a significant risk-management policy; there is a need to explore the corporate socio-environmental impact of WII on stakeholders. Thus, the purpose of this study is to develop a theoretical framework for theorizing the sustainability reporting aspect of WII.

Design/methodology/approach
This study performs qualitative exploratory research using in-depth interviews with ten experts. It has been carried out through semi-structured interviews with academic and professional experts and analyzed the interview transcripts using qualitative analysis.

Findings
This study’s outcomes contribute a new paradigm in the ESG and CSR accountability domain from the perspectives of stakeholder theory. The findings of this study reported a novel conceptual framework for integrated sustainability reporting of WII based on ESG and CSR constructs. The thematic content analysis of interview transcripts and WII literature exposed the significant accountability of WII towards human, ecological and financial capital.

Practical implications
This study provides valuable insights into the theoretical development of WII sustainability domain by developing a theoretical framework that provides a further pathway for future researchers.

Social implications
This study attempts to analyze the WII exposure toward ESG and CSR dimensions that are helpful for insurers, farmers, managers and governments.

Originality/value
This study firstly bridges the gap between WII theoretical knowledge and professional practice in terms of sustainability assessment of WII.
",Pankaj Singh; Ruchi Kushwaha,Qualitative Research in Financial Markets,insurance_base,10.1108/qrfm-05-2024-0113
10.2139/ssrn.5278901,"Basis Risk, Risk Aversion, and Premiums: Unpacking Demand Dynamics for Index-Based Flood Insurance in Jakarta, Indonesia",10.2139/ssrn.5278901,2025,crossref,https://doi.org/10.2139/ssrn.5278901,,Jose Cobian Alvarez; Budy Prasetyo Resosudarmo; Alin Halimatussadiah; Susan Olivia,,insurance_base,10.2139/ssrn.5278901
10.2139/ssrn.5183364,"Credit Insurance, Bailout and Systemic Risk",10.2139/ssrn.5183364,2025,crossref,https://doi.org/10.2139/ssrn.5183364,,Kaushalendra Kishore,,insurance_base,10.2139/ssrn.5183364
10.58233/usmhqnga,Developing a multi-hazard risk index-based insurance for viticulture under climate change,10.58233/usmhqnga,2025,crossref,https://doi.org/10.58233/usmhqnga,,,46th World Congress of Vine and Wine,insurance_base,10.58233/usmhqnga
10.1257/rct.16218,"Agent Incentives to Maximize Profits and Social Welfare
from a Catastrophic Drought Insurance?",10.1257/rct.16218,2025,crossref,https://doi.org/10.1257/rct.16218,,Karlijn Morsink; Hongdi Zhao,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.16218
10.55277/researchhub.nfcmgk3k,Agentic AI Weather Models for Parametric Monsoon Insurance (India),10.55277/researchhub.nfcmgk3k,2025,crossref,https://doi.org/10.55277/researchhub.nfcmgk3k,,Esme Dudoit,,insurance_base,10.55277/researchhub.nfcmgk3k
10.1111/jori.70005,"Demand for life annuities, critical illness insurance, and long‐term care insurance",10.1111/jori.70005,2025,crossref,https://doi.org/10.1111/jori.70005,"AbstractWe develop a rich life‐cycle model to assess the demand for life annuities, critical illness insurance, and long‐term care (LTC) insurance by retirees in a portfolio‐allocation setting. We calibrate our model to urban China, where retirees face limited public insurance and undeveloped private markets. We show that retirees with a low public pension should allocate at least 30% of their financial wealth at retirement to a life annuity. Those with an average pension should allocate at least 30% to critical illness insurance. The allocation to LTC insurance ranges from 5% to 33% across all economic profiles considered. Access to critical illness and LTC insurance does not necessarily increase annuity demand. However, access to annuities decreases LTC insurance demand. Our results suggest that countries with limited public insurance should first ensure the adequacy of retirement income and then focus on covering catastrophic medical expenses while providing basic LTC services for all.",Cheng Wan; Hazel Bateman; Katja Hanewald,Journal of Risk and Insurance,insurance_base,10.1111/jori.70005
10.1257/rct.16218-1.0,"Agent Incentives to Maximize Profits and Social Welfare
from a Catastrophic Drought Insurance?",10.1257/rct.16218-1.0,2025,crossref,https://doi.org/10.1257/rct.16218-1.0,,Karlijn Morsink; Hongdi Zhao,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.16218-1.0
10.5089/9798229001991.001,"Extreme Weather Events, Agricultural Output, and Insurance",10.5089/9798229001991.001,2025,crossref,https://doi.org/10.5089/9798229001991.001,,Juliette Caucheteux,IMF Working Papers,insurance_base,10.5089/9798229001991.001
10.1111/rmir.70018,Head games: Navigating liability and insurance in the NFL,10.1111/rmir.70018,2025,crossref,https://doi.org/10.1111/rmir.70018,"AbstractThis teaching case explores the National Football League's (NFL) evolving risk management strategy in response to mounting concussion‐related liability. As research increasingly links repeated head trauma to long‐term neurodegenerative diseases, the NFL has faced a surge in lawsuits, insurance market withdrawal, and reputational challenges. Traditional insurers have grown wary of underwriting the league's liability risks, prompting the NFL to consider self‐insurance as a long‐term solution. This case examines the financial and strategic implications of that decision, drawing on concepts from insurance economics, enterprise risk management, and long‐tail risks, and the role of corporate culture in shaping risk responses. Designed for students in insurance, risk management, or sports economics courses, the teaching case fosters discussion on how large organizations manage uncertainty when traditional risk‐transfer mechanisms fail.",Sabrina Du,Risk Management and Insurance Review,insurance_base,10.1111/rmir.70018
10.1111/rmir.v28.1,,10.1111/rmir.v28.1,2025,crossref,https://doi.org/10.1111/rmir.v28.1,,,Risk Management and Insurance Review,insurance_base,10.1111/rmir.v28.1
10.1111/jori.70002,Learning from experience: Flooding and insurance take‐up in the flood zone and its periphery,10.1111/jori.70002,2025,crossref,https://doi.org/10.1111/jori.70002,"AbstractFlood insurance take‐up remains low outside of the 100‐year flood zone (SFHA), where purchasing insurance is entirely voluntary, despite the availability of affordable policies. Merging building footprints and inundation data for a large‐scale flooding episode, we document substantial flood risk in the periphery of the SFHA and show that the storm led to large increases in take‐up. But, while in the SFHA, the increase vanished after 3 years, it was highly persistent in the periphery. The extent of flooding and the type of policies purchased indicate that periphery residents who experienced flooding for the first time revised upwardly their beliefs about flood risk and began purchasing flood insurance. We also argue that increased granularity in flood risk communication could increase take‐up before catastrophic flooding occurs.",Ivan Petkov; Francesc Ortega,Journal of Risk and Insurance,insurance_base,10.1111/jori.70002
10.1111/jori.12506,"Catastrophe risk sharing among individuals, private insurance, and government",10.1111/jori.12506,2025,crossref,https://doi.org/10.1111/jori.12506,"AbstractLimited research has been conducted on the optimal public–private risk‐sharing for catastrophe risks. This paper develops a theoretical framework to study the risk‐sharing decisions and interactions of three types of catastrophe‐market participants: a large number of individuals, a large number of private insurers in a competitive market, and a government that can choose between alternatives of re/insurance or ex post relief. Our analysis shows that the optimal government intervention varies depending on the correlation levels among individual losses. For moderately positive levels of loss correlation, it is optimal for the government to offer an ex post relief program to supplement private insurance. However, for higher levels of loss correlation, government reinsurance becomes optimal, although not to the extent of replacing private insurance if the government is less efficient than private firms. In sum, as catastrophe‐loss correlations increase, that is, as the risk becomes more catastrophic, more risk‐sharing tools and funding are needed to maximize social welfare.",Ruo Jia; Jieyu Lin; Michael R. Powers; Hanyang Wang,Journal of Risk and Insurance,insurance_base,10.1111/jori.12506
10.1111/rmir.v28.2,,10.1111/rmir.v28.2,2025,crossref,https://doi.org/10.1111/rmir.v28.2,,,Risk Management and Insurance Review,insurance_base,10.1111/rmir.v28.2
10.1057/s41288-025-00360-5,Managing basis risks in weather parametric insurance: a quantitative study of diversification and key influencing factors,10.1057/s41288-025-00360-5,2025,crossref,https://doi.org/10.1057/s41288-025-00360-5,,Hang Gao; Shuohua Yang; Xinli Liu,The Geneva Papers on Risk and Insurance - Issues and Practice,insurance_base,10.1057/s41288-025-00360-5
10.1111/jori.12477,Issue Information: Journal of Risk and Insurance 3/2025,10.1111/jori.12477,2025,crossref,https://doi.org/10.1111/jori.12477,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.12477
10.1111/jori.v92.2,,10.1111/jori.v92.2,2025,crossref,https://doi.org/10.1111/jori.v92.2,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.v92.2
10.1111/jori.12476,Issue Information: Journal of Risk and Insurance 2/2025,10.1111/jori.12476,2025,crossref,https://doi.org/10.1111/jori.12476,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.12476
10.20944/preprints202504.2032.v1,Weather Index Insurance and Input Intensification: Evidence from Smallholder Farmers in Kenya,10.20944/preprints202504.2032.v1,2025,crossref,https://doi.org/10.20944/preprints202504.2032.v1,"Climate variability discourages smallholders from adopting yield-enhancing inputs, perpetuating low agricultural productivity. Weather Index Insurance (WII) could mitigate this, but empirical evidence remains inconsistent, with most insights drawn from controlled experiments lacking real-world scalability. Using observational data from Kenyan smallholders across diverse agroecological zones,  this study employs instrumental variable regression to assess WII&amp;#039;s influence on agricultural input adoption and use intensity. Results demonstrate that WII significantly increases adoption and intensification of improved inputs but displaces traditional practices, with effects mediated by gender, financial access, and infrastructure. However, WII&amp;#039;s efficacy diminishes under extreme drought and in high-fertility soils, revealing threshold-dependent climate resilience shaped by local agroecological conditions. Our results demonstrate that WII&amp;#039;s productivity benefits are context-dependent, urging policies that combine insurance with agroecological targeting and complementary interventions like credit access to achieve sustainable agricultural transformation.",Price Amanya Muleke; Yueqing Ji; Yongyi Fu; Shadrack Kipkogei,,insurance_base,10.20944/preprints202504.2032.v1
10.1111/jori.v92.3,,10.1111/jori.v92.3,2025,crossref,https://doi.org/10.1111/jori.v92.3,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.v92.3
10.1111/jori.12475,Issue Information: Journal of Risk and Insurance 1/2025,10.1111/jori.12475,2025,crossref,https://doi.org/10.1111/jori.12475,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.12475
10.36713/epra19711,DETERMINANTS OF WEATHER INDEX-BASED INSURANCE ADOPTION AMONG GHANAIAN FARMERS: INSIGHTS FOR CLIMATE RISK MITIGATION AND SUSTAINABLE AGRICULTURE,10.36713/epra19711,2025,crossref,https://doi.org/10.36713/epra19711,"In Sub-Saharan Africa, agricultural insurance products have been piloted to address the connected climatic risks that farmers confront. However, these products, in general, face low rates of adoption in Ghana. Specific determinants and opportunities of weather index-based insurance are evident in the existing literature. However, empirical studies on the effect of the variables in question seem to be lacking. The purpose of this study was to determine whether farmers in Ghana are willing to demand weather index-based insurance and what factors influence crop insurance participation and purchase. The factors under consideration included farmers' trust in financial institutions, farmers' perception of risk, and farmers' perceptions of policy interventions. This study utilized the theory of planned behavior (TPB) to explain the factors that influenced crop farmers' demand for weather index insurance.  Based on the objectives of the research, the study adopted the quantitative research approach. In Ghana's Northern and Southern Savanna regions, a purposive sample technique was used to survey two hundred and three (203) farmers. The variables that affected the likelihood of farmers requesting weather index insurance were identified using Ordered Probit econometric models.
The empirical results from the crop farmers show that farmers' trust in financial institutions, farmers' perceived risk, and farmers' perception of public policy were significant predictors of weather index insurance demand.  
The study found that farmers' trust in financial institutions and perceptions of public policy positively affected the probability of demanding weather index-based insurance. On the contrary, farmers' perceived risk negatively affected farmers' likelihood of demanding weather index insurance. The ordered probit regression analysis showed a significant difference between agroecological zone (p-value = 0.020, z = -2.31), maize crop (p-value = 0.022, z = -2.13), farming experience (p-value = 0.038, z = 1.92) and educational background (p-value = 0.042, z = 1.83) in farmer's willingness to demand weather index insurance. 
The study finds that farmers with a high level of perceived risk are less likely to demand for weather index-based insurance. Also, farmers with a high level of trust are more likely to demand for weather index-based insurance. Finally, farmers who view policy interventions to be effective are more likely to demand extra weather index-based insurance.
The findings provide useful insight for government agencies and policymakers to review existing policies and introduce new ones that would encourage the participation of weather index insurance. Also, insurers can take a clue from the findings to draw up effective programs and workshops that would train farmers on better risk management strategies through the adoption of weather index insurance products.  The study recommends the government improve the infrastructure and the quality of weather data. The study also suggests future studies to focus on farmers' saving and access to credit facilities on adopting weather index-based insurance.
KEYWORDS: Weather Index-Based Insurance, Climate Risk Mitigation, Sustainable Agriculture, Farmer Perceptions, Trust in Financial Institutions",Gloria Opoku Darkoh; Nicholas Laweh; Edmund A. Dasori; Maxwell L Abilla; Ngozi Orji; Samuel Junior Amfo,EPRA International Journal of Agriculture and Rural Economic Research,insurance_base,10.36713/epra19711
10.1111/jori.v92.1,,10.1111/jori.v92.1,2025,crossref,https://doi.org/10.1111/jori.v92.1,,,Journal of Risk and Insurance,insurance_base,10.1111/jori.v92.1
10.1111/jori.70019,Market discipline in life insurance: Does public risk disclosure encourage less risky management actions?,10.1111/jori.70019,2025,crossref,https://doi.org/10.1111/jori.70019,"AbstractWe analyze how public risk disclosure, specifically Solvency II, impacts life insurers' risk‐taking behavior. Using data from 58 German life insurers from 2016 to 2023, we find that publicly reported solvency ratios can affect premium growth and surrender rates. Moreover, insurers appear to improve their solvency ratios following a decline in the previous year. To investigate whether policyholder behavior drives a life insurer's reduced risk‐taking, we then develop a model in which a life insurer seeks to maximize shareholder value. Unlike previous research, we consider annually disclosed solvency ratios, affecting policyholders' dynamic purchase and surrender behavior. In our model, the insurer acts less riskily (e.g., holds more reserves and sells less‐risky insurance portfolios) to maintain higher solvency ratios and mitigate policyholders' adverse reactions. Our findings motivate public risk disclosure to strengthen market discipline, but its level and design must be carefully calibrated to be effective and avoid undue costs.",Moritz Hanika,Journal of Risk and Insurance,insurance_base,10.1111/jori.70019
10.1111/jori.12505,Registered index‐linked annuities in qualified retirement plans,10.1111/jori.12505,2025,crossref,https://doi.org/10.1111/jori.12505,"AbstractMany Americans remain financially underprepared for retirement. While automatic enrollment in employer‐sponsored retirement plans has helped, target‐date funds (TDFs) used as default investments have limitations. We propose target‐date registered index‐linked annuities (TD‐RILAs) as a transparent, cost‐effective alternative providing decreasing equity exposure over time. A theoretical analysis explores TD‐RILAs' optimal structure and compares them to TDFs. A lab experiment examines investors' preferences, product transparency, default choices, and the role of information. We find that TD‐RILAs are a suitable addition to retirement plans, potentially rivaling TDFs.",Cameron Ellis; Thorsten Moenig; Jacqueline Volkman‐Wise,Journal of Risk and Insurance,insurance_base,10.1111/jori.12505
10.64526/iilr.33.s4.21,Hybridization of Risk Cultures and Enterprise Risk Management in Insurance Sector,10.64526/iilr.33.s4.21,2025,crossref,https://doi.org/10.64526/iilr.33.s4.21,,Ruchi Agarwal,International Insurance Law Review,insurance_base,10.64526/iilr.33.s4.21
